hi	model
15.5579	AgglomerativeClustering
15.5579	AgglomerativeClustering
15.5738	AgglomerativeClustering
15.5936	AgglomerativeClustering
15.6189	AgglomerativeClustering
15.6421	AgglomerativeClustering
15.9719	AgglomerativeClustering
15.9781	AgglomerativeClustering
15.9963	AgglomerativeClustering
16.0046	AgglomerativeClustering
16.0571	AgglomerativeClustering
16.0571	AgglomerativeClustering
16.0776	AgglomerativeClustering
16.2213	AgglomerativeClustering
16.2213	AgglomerativeClustering
16.2364	AgglomerativeClustering
16.2475	AgglomerativeClustering
16.2696	AgglomerativeClustering
16.2895	AgglomerativeClustering
16.3578	AgglomerativeClustering
16.3895	AgglomerativeClustering
16.4049	AgglomerativeClustering
16.4814	AgglomerativeClustering
16.5025	AgglomerativeClustering
16.5068	AgglomerativeClustering
16.5068	AgglomerativeClustering
16.6252	AgglomerativeClustering
16.6887	AgglomerativeClustering
16.7182	AgglomerativeClustering
16.7731	AgglomerativeClustering
16.7731	AgglomerativeClustering
16.7903	AgglomerativeClustering
16.8069	AgglomerativeClustering
16.808	AgglomerativeClustering
16.8222	AgglomerativeClustering
16.8852	AgglomerativeClustering
16.9001	AgglomerativeClustering
16.9187	AgglomerativeClustering
16.9497	AgglomerativeClustering
17.0292	AgglomerativeClustering
17.0332	AgglomerativeClustering
17.2098	AgglomerativeClustering
17.2098	AgglomerativeClustering
17.2182	AgglomerativeClustering
17.2182	AgglomerativeClustering
17.2182	AgglomerativeClustering
17.324	AgglomerativeClustering
17.3717	AgglomerativeClustering
17.3884	AgglomerativeClustering
17.411	AgglomerativeClustering
17.5033	AgglomerativeClustering
17.5251	AgglomerativeClustering
17.577	AgglomerativeClustering
17.5892	AgglomerativeClustering
17.5905	AgglomerativeClustering
17.5909	AgglomerativeClustering
17.6053	AgglomerativeClustering
17.6089	AgglomerativeClustering
17.6336	AgglomerativeClustering
17.774	AgglomerativeClustering
17.7847	AgglomerativeClustering
17.7847	AgglomerativeClustering
17.8838	AgglomerativeClustering
17.9389	AgglomerativeClustering
17.9727	AgglomerativeClustering
18.0819	AgglomerativeClustering
18.1182	AgglomerativeClustering
18.1264	AgglomerativeClustering
18.3513	AgglomerativeClustering
18.4242	AgglomerativeClustering
18.4451	AgglomerativeClustering
18.4739	AgglomerativeClustering
18.5249	AgglomerativeClustering
18.5436	AgglomerativeClustering
18.6337	AgglomerativeClustering
18.6696	AgglomerativeClustering
18.7931	AgglomerativeClustering
18.8085	AgglomerativeClustering
18.8966	AgglomerativeClustering
18.924	AgglomerativeClustering
19.1122	AgglomerativeClustering
19.1286	AgglomerativeClustering
19.1614	AgglomerativeClustering
19.1614	AgglomerativeClustering
19.2466	AgglomerativeClustering
19.3933	AgglomerativeClustering
19.4985	AgglomerativeClustering
19.4985	AgglomerativeClustering
19.5513	AgglomerativeClustering
19.5513	AgglomerativeClustering
19.5927	AgglomerativeClustering
19.5927	AgglomerativeClustering
19.5974	AgglomerativeClustering
19.6136	AgglomerativeClustering
19.6136	AgglomerativeClustering
19.6335	AgglomerativeClustering
19.6336	AgglomerativeClustering
19.6908	AgglomerativeClustering
19.7372	AgglomerativeClustering
19.7437	AgglomerativeClustering
19.8351	AgglomerativeClustering
19.8351	AgglomerativeClustering
19.9268	AgglomerativeClustering
19.9414	AgglomerativeClustering
19.9566	AgglomerativeClustering
20.0055	AgglomerativeClustering
20.0055	AgglomerativeClustering
20.0805	AgglomerativeClustering
20.0837	AgglomerativeClustering
20.1088	AgglomerativeClustering
20.1205	AgglomerativeClustering
20.1205	AgglomerativeClustering
20.1525	AgglomerativeClustering
20.1611	AgglomerativeClustering
20.1831	AgglomerativeClustering
20.286	AgglomerativeClustering
20.3613	AgglomerativeClustering
20.403	AgglomerativeClustering
20.4458	AgglomerativeClustering
20.4458	AgglomerativeClustering
20.4822	AgglomerativeClustering
20.616	AgglomerativeClustering
