species	genus	type	hi
s__Escherichia coli	g__Escherichia	hic2	15.8349
s__Escherichia coli	g__Escherichia	hic1	13.7705
s__Escherichia coli	g__Escherichia	hic2	15.3860
s__Escherichia coli	g__Escherichia	hic1	15.3316
s__Escherichia coli	g__Escherichia	hic2	16.9182
s__Escherichia coli	g__Escherichia	hic1	15.0855
s__Escherichia coli	g__Escherichia	hic2	16.6999
s__Escherichia coli	g__Escherichia	hic1	15.2000
s__Escherichia coli	g__Escherichia	hic2	16.7713
s__Escherichia coli	g__Escherichia	hic1	14.0663
s__Escherichia coli	g__Escherichia	hic2	15.8277
s__Escherichia coli	g__Escherichia	hic1	14.5361
s__Escherichia coli	g__Escherichia	hic2	16.0866
s__Escherichia coli	g__Escherichia	hic1	14.8017
s__Escherichia coli	g__Escherichia	hic2	16.3522
s__Escherichia coli	g__Escherichia	hic1	15.0640
s__Escherichia coli	g__Escherichia	hic2	16.6595
s__Escherichia coli	g__Escherichia	hic1	14.8017
s__Escherichia coli	g__Escherichia	hic2	16.3522
s__Escherichia coli	g__Escherichia	hic1	14.3629
s__Escherichia coli	g__Escherichia	hic2	15.9342
s__Escherichia coli	g__Escherichia	hic1	14.5149
s__Escherichia coli	g__Escherichia	hic2	16.0862
s__Escherichia coli	g__Escherichia	hic1	15.1483
s__Escherichia coli	g__Escherichia	hic2	16.7196
s__Escherichia coli	g__Escherichia	hic1	15.2532
s__Escherichia coli	g__Escherichia	hic2	16.8245
s__Escherichia coli	g__Escherichia	hic1	15.5299
s__Escherichia coli	g__Escherichia	hic2	17.1221
s__Escherichia coli	g__Escherichia	hic1	15.3069
s__Escherichia coli	g__Escherichia	hic2	16.8781
s__Escherichia coli	g__Escherichia	hic1	14.8017
s__Escherichia coli	g__Escherichia	hic2	16.3522
s__Escherichia coli	g__Escherichia	hic1	14.2295
s__Escherichia coli	g__Escherichia	hic2	15.8008
s__Escherichia coli	g__Escherichia	hic1	14.8017
s__Escherichia coli	g__Escherichia	hic2	16.3522
s__Escherichia coli	g__Escherichia	hic1	14.8017
s__Escherichia coli	g__Escherichia	hic2	16.3522
s__Escherichia coli	g__Escherichia	hic1	15.9884
s__Escherichia coli	g__Escherichia	hic2	17.5973
s__Escherichia coli	g__Escherichia	hic1	15.1835
s__Escherichia coli	g__Escherichia	hic2	16.7340
s__Escherichia coli	g__Escherichia	hic1	14.6902
s__Escherichia coli	g__Escherichia	hic2	16.2614
s__Escherichia coli	g__Escherichia	hic1	14.1629
s__Escherichia coli	g__Escherichia	hic2	15.7341
s__Escherichia coli	g__Escherichia	hic1	13.5860
s__Escherichia coli	g__Escherichia	hic2	15.1775
s__Escherichia coli	g__Escherichia	hic1	14.8963
s__Escherichia coli	g__Escherichia	hic2	16.4467
s__Escherichia coli	g__Escherichia	hic1	15.3819
s__Escherichia coli	g__Escherichia	hic2	16.9735
s__Escherichia coli	g__Escherichia	hic1	14.5230
s__Escherichia coli	g__Escherichia	hic2	16.0942
s__Escherichia coli	g__Escherichia	hic1	13.4265
s__Escherichia coli	g__Escherichia	hic2	14.9978
s__Escherichia coli	g__Escherichia	hic1	14.8017
s__Escherichia coli	g__Escherichia	hic2	16.3522
s__Escherichia coli	g__Escherichia	hic1	15.1372
s__Escherichia coli	g__Escherichia	hic2	16.8284
s__Escherichia coli	g__Escherichia	hic1	14.8017
s__Escherichia coli	g__Escherichia	hic2	16.3522
s__Escherichia coli	g__Escherichia	hic1	14.2160
s__Escherichia coli	g__Escherichia	hic2	15.7665
s__Escherichia coli	g__Escherichia	hic1	13.7497
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	14.8017
s__Escherichia coli	g__Escherichia	hic2	16.3522
s__Escherichia coli	g__Escherichia	hic1	14.2295
s__Escherichia coli	g__Escherichia	hic2	15.8008
s__Escherichia coli	g__Escherichia	hic1	14.8017
s__Escherichia coli	g__Escherichia	hic2	16.3522
s__Escherichia coli	g__Escherichia	hic1	14.4912
s__Escherichia coli	g__Escherichia	hic2	16.0828
s__Escherichia coli	g__Escherichia	hic1	15.3181
s__Escherichia coli	g__Escherichia	hic2	16.8893
s__Escherichia coli	g__Escherichia	hic1	15.2532
s__Escherichia coli	g__Escherichia	hic2	16.8245
s__Escherichia coli	g__Escherichia	hic1	14.1063
s__Escherichia coli	g__Escherichia	hic2	15.6776
s__Escherichia coli	g__Escherichia	hic1	13.4265
s__Escherichia coli	g__Escherichia	hic2	14.9978
s__Escherichia coli	g__Escherichia	hic1	14.5149
s__Escherichia coli	g__Escherichia	hic2	16.0862
s__Escherichia coli	g__Escherichia	hic1	13.4265
s__Escherichia coli	g__Escherichia	hic2	14.9978
s__Escherichia coli	g__Escherichia	hic1	13.7705
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	15.0706
s__Escherichia coli	g__Escherichia	hic2	16.5910
s__Escherichia coli	g__Escherichia	hic1	14.7516
s__Escherichia coli	g__Escherichia	hic2	16.3229
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	14.1613
s__Escherichia coli	g__Escherichia	hic2	15.7118
s__Escherichia coli	g__Escherichia	hic1	15.2822
s__Escherichia coli	g__Escherichia	hic2	16.9182
s__Escherichia coli	g__Escherichia	hic1	15.2029
s__Escherichia coli	g__Escherichia	hic2	16.8351
s__Escherichia coli	g__Escherichia	hic1	15.4417
s__Escherichia coli	g__Escherichia	hic2	17.0520
s__Escherichia coli	g__Escherichia	hic1	14.7471
s__Escherichia coli	g__Escherichia	hic2	16.3560
s__Escherichia coli	g__Escherichia	hic1	14.7471
s__Escherichia coli	g__Escherichia	hic2	16.3560
s__Escherichia coli	g__Escherichia	hic1	14.6479
s__Escherichia coli	g__Escherichia	hic2	16.2192
s__Escherichia coli	g__Escherichia	hic1	14.8490
s__Escherichia coli	g__Escherichia	hic2	16.4203
s__Escherichia coli	g__Escherichia	hic1	14.0313
s__Escherichia coli	g__Escherichia	hic2	15.6026
s__Escherichia coli	g__Escherichia	hic1	14.3916
s__Escherichia coli	g__Escherichia	hic2	15.9629
s__Escherichia coli	g__Escherichia	hic1	14.6297
s__Escherichia coli	g__Escherichia	hic2	16.2010
s__Escherichia coli	g__Escherichia	hic1	15.1653
s__Escherichia coli	g__Escherichia	hic2	16.7742
s__Escherichia coli	g__Escherichia	hic1	14.6303
s__Escherichia coli	g__Escherichia	hic2	16.2693
s__Escherichia coli	g__Escherichia	hic1	14.0034
s__Escherichia coli	g__Escherichia	hic2	15.7593
s__Escherichia coli	g__Escherichia	hic1	15.0706
s__Escherichia coli	g__Escherichia	hic2	16.6211
s__Escherichia coli	g__Escherichia	hic1	14.2967
s__Escherichia coli	g__Escherichia	hic2	15.8882
s__Escherichia coli	g__Escherichia	hic1	14.3087
s__Escherichia coli	g__Escherichia	hic2	15.8800
s__Escherichia coli	g__Escherichia	hic1	14.5232
s__Escherichia coli	g__Escherichia	hic2	16.0945
s__Escherichia coli	g__Escherichia	hic1	13.7497
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	15.1290
s__Escherichia coli	g__Escherichia	hic2	16.7003
s__Escherichia coli	g__Escherichia	hic1	13.8846
s__Escherichia coli	g__Escherichia	hic2	15.4559
s__Escherichia coli	g__Escherichia	hic1	15.3646
s__Escherichia coli	g__Escherichia	hic2	16.9150
s__Escherichia coli	g__Escherichia	hic1	14.0889
s__Escherichia coli	g__Escherichia	hic2	15.6394
s__Escherichia coli	g__Escherichia	hic1	15.4220
s__Escherichia coli	g__Escherichia	hic2	17.0309
s__Escherichia coli	g__Escherichia	hic1	14.1365
s__Escherichia coli	g__Escherichia	hic2	15.7078
s__Escherichia coli	g__Escherichia	hic1	15.7386
s__Escherichia coli	g__Escherichia	hic2	17.3099
s__Escherichia coli	g__Escherichia	hic1	13.8241
s__Escherichia coli	g__Escherichia	hic2	15.4386
s__Escherichia coli	g__Escherichia	hic1	15.1107
s__Escherichia coli	g__Escherichia	hic2	16.6820
s__Escherichia coli	g__Escherichia	hic1	15.7386
s__Escherichia coli	g__Escherichia	hic2	17.2966
s__Escherichia coli	g__Escherichia	hic1	14.9436
s__Escherichia coli	g__Escherichia	hic2	16.5149
s__Escherichia coli	g__Escherichia	hic1	14.5042
s__Escherichia coli	g__Escherichia	hic2	16.0957
s__Escherichia coli	g__Escherichia	hic1	15.7386
s__Escherichia coli	g__Escherichia	hic2	17.2966
s__Escherichia coli	g__Escherichia	hic1	15.1372
s__Escherichia coli	g__Escherichia	hic2	16.7085
s__Escherichia coli	g__Escherichia	hic1	13.7073
s__Escherichia coli	g__Escherichia	hic2	15.2786
s__Escherichia coli	g__Escherichia	hic1	13.7002
s__Escherichia coli	g__Escherichia	hic2	15.2715
s__Escherichia coli	g__Escherichia	hic1	14.8055
s__Escherichia coli	g__Escherichia	hic2	16.3560
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.0212
s__Escherichia coli	g__Escherichia	hic1	14.0638
s__Escherichia coli	g__Escherichia	hic2	15.6998
s__Escherichia coli	g__Escherichia	hic1	15.2008
s__Escherichia coli	g__Escherichia	hic2	16.7721
s__Escherichia coli	g__Escherichia	hic1	15.0430
s__Escherichia coli	g__Escherichia	hic2	16.6554
s__Escherichia coli	g__Escherichia	hic1	15.0751
s__Escherichia coli	g__Escherichia	hic2	16.6464
s__Escherichia coli	g__Escherichia	hic1	14.4944
s__Escherichia coli	g__Escherichia	hic2	16.1264
s__Escherichia coli	g__Escherichia	hic1	14.3101
s__Escherichia coli	g__Escherichia	hic2	15.8814
s__Escherichia coli	g__Escherichia	hic1	13.4265
s__Escherichia coli	g__Escherichia	hic2	14.9978
s__Escherichia coli	g__Escherichia	hic1	13.1118
s__Escherichia coli	g__Escherichia	hic2	14.6831
s__Escherichia coli	g__Escherichia	hic1	15.8190
s__Escherichia coli	g__Escherichia	hic2	17.5102
s__Escherichia coli	g__Escherichia	hic1	15.0388
s__Escherichia coli	g__Escherichia	hic2	16.6100
s__Escherichia coli	g__Escherichia	hic1	15.1170
s__Escherichia coli	g__Escherichia	hic2	16.7085
s__Escherichia coli	g__Escherichia	hic1	14.9666
s__Escherichia coli	g__Escherichia	hic2	16.5379
s__Escherichia coli	g__Escherichia	hic1	15.7386
s__Escherichia coli	g__Escherichia	hic2	17.3099
s__Escherichia coli	g__Escherichia	hic1	14.3338
s__Escherichia coli	g__Escherichia	hic2	15.9051
s__Escherichia coli	g__Escherichia	hic1	14.7436
s__Escherichia coli	g__Escherichia	hic2	16.3849
s__Escherichia coli	g__Escherichia	hic1	14.8660
s__Escherichia coli	g__Escherichia	hic2	16.4694
s__Escherichia coli	g__Escherichia	hic1	14.4944
s__Escherichia coli	g__Escherichia	hic2	16.1264
s__Escherichia coli	g__Escherichia	hic1	14.3257
s__Escherichia coli	g__Escherichia	hic2	15.8970
s__Escherichia coli	g__Escherichia	hic1	15.1424
s__Escherichia coli	g__Escherichia	hic2	16.7172
s__Escherichia coli	g__Escherichia	hic1	14.7543
s__Escherichia coli	g__Escherichia	hic2	16.3256
s__Escherichia coli	g__Escherichia	hic1	15.4125
s__Escherichia coli	g__Escherichia	hic2	17.1037
s__Escherichia coli	g__Escherichia	hic1	15.1910
s__Escherichia coli	g__Escherichia	hic2	16.7623
s__Escherichia coli	g__Escherichia	hic1	15.3181
s__Escherichia coli	g__Escherichia	hic2	16.8893
s__Escherichia coli	g__Escherichia	hic1	14.4753
s__Escherichia coli	g__Escherichia	hic2	16.0466
s__Escherichia coli	g__Escherichia	hic1	14.9666
s__Escherichia coli	g__Escherichia	hic2	16.5379
s__Escherichia coli	g__Escherichia	hic1	15.7386
s__Escherichia coli	g__Escherichia	hic2	17.3099
s__Escherichia coli	g__Escherichia	hic1	15.1654
s__Escherichia coli	g__Escherichia	hic2	16.7366
s__Escherichia coli	g__Escherichia	hic1	15.0433
s__Escherichia coli	g__Escherichia	hic2	16.6146
s__Escherichia coli	g__Escherichia	hic1	14.7475
s__Escherichia coli	g__Escherichia	hic2	16.3397
s__Escherichia coli	g__Escherichia	hic1	15.7386
s__Escherichia coli	g__Escherichia	hic2	17.2966
s__Escherichia coli	g__Escherichia	hic1	15.8855
s__Escherichia coli	g__Escherichia	hic2	17.4568
s__Escherichia coli	g__Escherichia	hic1	15.1340
s__Escherichia coli	g__Escherichia	hic2	16.7053
s__Escherichia coli	g__Escherichia	hic1	15.3069
s__Escherichia coli	g__Escherichia	hic2	16.8781
s__Escherichia coli	g__Escherichia	hic1	14.1365
s__Escherichia coli	g__Escherichia	hic2	15.7078
s__Escherichia coli	g__Escherichia	hic1	15.6097
s__Escherichia coli	g__Escherichia	hic2	17.2695
s__Escherichia coli	g__Escherichia	hic1	14.4947
s__Escherichia coli	g__Escherichia	hic2	16.0862
s__Escherichia coli	g__Escherichia	hic1	15.7386
s__Escherichia coli	g__Escherichia	hic2	17.2966
s__Escherichia coli	g__Escherichia	hic1	15.5015
s__Escherichia coli	g__Escherichia	hic2	17.0520
s__Escherichia coli	g__Escherichia	hic1	15.1134
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	15.3069
s__Escherichia coli	g__Escherichia	hic2	16.8781
s__Escherichia coli	g__Escherichia	hic1	15.6122
s__Escherichia coli	g__Escherichia	hic2	17.3034
s__Escherichia coli	g__Escherichia	hic1	14.6902
s__Escherichia coli	g__Escherichia	hic2	16.2614
s__Escherichia coli	g__Escherichia	hic1	14.8688
s__Escherichia coli	g__Escherichia	hic2	16.4401
s__Escherichia coli	g__Escherichia	hic1	15.2000
s__Escherichia coli	g__Escherichia	hic2	16.7713
s__Escherichia coli	g__Escherichia	hic1	15.3181
s__Escherichia coli	g__Escherichia	hic2	16.8893
s__Escherichia coli	g__Escherichia	hic1	15.0296
s__Escherichia coli	g__Escherichia	hic2	16.6009
s__Escherichia coli	g__Escherichia	hic1	14.9986
s__Escherichia coli	g__Escherichia	hic2	16.5699
s__Escherichia coli	g__Escherichia	hic1	15.1819
s__Escherichia coli	g__Escherichia	hic2	16.7908
s__Escherichia coli	g__Escherichia	hic1	14.6491
s__Escherichia coli	g__Escherichia	hic2	16.2413
s__Escherichia coli	g__Escherichia	hic1	14.3101
s__Escherichia coli	g__Escherichia	hic2	15.9423
s__Escherichia coli	g__Escherichia	hic1	13.7705
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	13.7497
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	15.3469
s__Escherichia coli	g__Escherichia	hic2	16.9182
s__Escherichia coli	g__Escherichia	hic1	15.4351
s__Escherichia coli	g__Escherichia	hic2	17.0440
s__Escherichia coli	g__Escherichia	hic1	14.4798
s__Escherichia coli	g__Escherichia	hic2	16.0942
s__Escherichia coli	g__Escherichia	hic1	14.1913
s__Escherichia coli	g__Escherichia	hic2	15.7626
s__Escherichia coli	g__Escherichia	hic1	14.4798
s__Escherichia coli	g__Escherichia	hic2	16.0942
s__Escherichia coli	g__Escherichia	hic1	15.1654
s__Escherichia coli	g__Escherichia	hic2	16.7366
s__Escherichia coli	g__Escherichia	hic1	15.7870
s__Escherichia coli	g__Escherichia	hic2	17.3583
s__Escherichia coli	g__Escherichia	hic1	14.5357
s__Escherichia coli	g__Escherichia	hic2	16.0862
s__Escherichia coli	g__Escherichia	hic1	14.5153
s__Escherichia coli	g__Escherichia	hic2	16.0866
s__Escherichia coli	g__Escherichia	hic1	15.2565
s__Escherichia coli	g__Escherichia	hic2	16.8654
s__Escherichia coli	g__Escherichia	hic1	14.4124
s__Escherichia coli	g__Escherichia	hic2	15.9629
s__Escherichia coli	g__Escherichia	hic1	15.3816
s__Escherichia coli	g__Escherichia	hic2	16.9529
s__Escherichia coli	g__Escherichia	hic1	15.3469
s__Escherichia coli	g__Escherichia	hic2	16.9182
s__Escherichia coli	g__Escherichia	hic1	14.2020
s__Escherichia coli	g__Escherichia	hic2	15.7941
s__Escherichia coli	g__Escherichia	hic1	15.7386
s__Escherichia coli	g__Escherichia	hic2	17.2966
s__Escherichia coli	g__Escherichia	hic1	13.8566
s__Escherichia coli	g__Escherichia	hic2	15.4655
s__Escherichia coli	g__Escherichia	hic1	15.2563
s__Escherichia coli	g__Escherichia	hic2	16.8652
s__Escherichia coli	g__Escherichia	hic1	15.1716
s__Escherichia coli	g__Escherichia	hic2	16.7429
s__Escherichia coli	g__Escherichia	hic1	15.6787
s__Escherichia coli	g__Escherichia	hic2	17.2875
s__Escherichia coli	g__Escherichia	hic1	14.7641
s__Escherichia coli	g__Escherichia	hic2	16.3354
s__Escherichia coli	g__Escherichia	hic1	13.7842
s__Escherichia coli	g__Escherichia	hic2	15.3931
s__Escherichia coli	g__Escherichia	hic1	14.7436
s__Escherichia coli	g__Escherichia	hic2	16.3149
s__Escherichia coli	g__Escherichia	hic1	15.1653
s__Escherichia coli	g__Escherichia	hic2	16.7742
s__Escherichia coli	g__Escherichia	hic1	15.9296
s__Escherichia coli	g__Escherichia	hic2	17.5026
s__Escherichia coli	g__Escherichia	hic1	14.9939
s__Escherichia coli	g__Escherichia	hic2	16.6027
s__Escherichia coli	g__Escherichia	hic1	14.3707
s__Escherichia coli	g__Escherichia	hic2	15.9629
s__Escherichia coli	g__Escherichia	hic1	15.2532
s__Escherichia coli	g__Escherichia	hic2	16.8245
s__Escherichia coli	g__Escherichia	hic1	13.5833
s__Escherichia coli	g__Escherichia	hic2	15.1748
s__Escherichia coli	g__Escherichia	hic1	14.0959
s__Escherichia coli	g__Escherichia	hic2	15.7047
s__Escherichia coli	g__Escherichia	hic1	15.0696
s__Escherichia coli	g__Escherichia	hic2	16.6618
s__Escherichia coli	g__Escherichia	hic1	15.1107
s__Escherichia coli	g__Escherichia	hic2	16.6820
s__Escherichia coli	g__Escherichia	hic1	15.1654
s__Escherichia coli	g__Escherichia	hic2	16.7366
s__Escherichia coli	g__Escherichia	hic1	14.4944
s__Escherichia coli	g__Escherichia	hic2	16.1264
s__Escherichia coli	g__Escherichia	hic1	14.3832
s__Escherichia coli	g__Escherichia	hic2	16.0743
s__Escherichia coli	g__Escherichia	hic1	14.5021
s__Escherichia coli	g__Escherichia	hic2	16.0942
s__Escherichia coli	g__Escherichia	hic1	14.5021
s__Escherichia coli	g__Escherichia	hic2	16.0942
s__Escherichia coli	g__Escherichia	hic1	14.3351
s__Escherichia coli	g__Escherichia	hic2	16.0465
s__Escherichia coli	g__Escherichia	hic1	14.1365
s__Escherichia coli	g__Escherichia	hic2	15.7078
s__Escherichia coli	g__Escherichia	hic1	15.2029
s__Escherichia coli	g__Escherichia	hic2	16.7742
s__Escherichia coli	g__Escherichia	hic1	14.8160
s__Escherichia coli	g__Escherichia	hic2	16.4576
s__Escherichia coli	g__Escherichia	hic1	14.2832
s__Escherichia coli	g__Escherichia	hic2	15.8545
s__Escherichia coli	g__Escherichia	hic1	15.2029
s__Escherichia coli	g__Escherichia	hic2	16.7742
s__Escherichia coli	g__Escherichia	hic1	14.4151
s__Escherichia coli	g__Escherichia	hic2	15.9656
s__Escherichia coli	g__Escherichia	hic1	13.6294
s__Escherichia coli	g__Escherichia	hic2	15.2042
s__Escherichia coli	g__Escherichia	hic1	14.1952
s__Escherichia coli	g__Escherichia	hic2	15.7665
s__Escherichia coli	g__Escherichia	hic1	14.7644
s__Escherichia coli	g__Escherichia	hic2	16.3149
s__Escherichia coli	g__Escherichia	hic1	15.1881
s__Escherichia coli	g__Escherichia	hic2	16.7594
s__Escherichia coli	g__Escherichia	hic1	15.2029
s__Escherichia coli	g__Escherichia	hic2	16.7609
s__Escherichia coli	g__Escherichia	hic1	15.1463
s__Escherichia coli	g__Escherichia	hic2	16.7079
s__Escherichia coli	g__Escherichia	hic1	14.3257
s__Escherichia coli	g__Escherichia	hic2	15.8970
s__Escherichia coli	g__Escherichia	hic1	15.0012
s__Escherichia coli	g__Escherichia	hic2	16.6100
s__Escherichia coli	g__Escherichia	hic1	14.6902
s__Escherichia coli	g__Escherichia	hic2	16.2614
s__Escherichia coli	g__Escherichia	hic1	14.6531
s__Escherichia coli	g__Escherichia	hic2	16.4348
s__Escherichia coli	g__Escherichia	hic1	15.0213
s__Escherichia coli	g__Escherichia	hic2	16.5926
s__Escherichia coli	g__Escherichia	hic1	15.1052
s__Escherichia coli	g__Escherichia	hic2	16.6765
s__Escherichia coli	g__Escherichia	hic1	14.6902
s__Escherichia coli	g__Escherichia	hic2	16.2614
s__Escherichia coli	g__Escherichia	hic1	14.4940
s__Escherichia coli	g__Escherichia	hic2	16.0761
s__Escherichia coli	g__Escherichia	hic1	14.8863
s__Escherichia coli	g__Escherichia	hic2	16.5947
s__Escherichia coli	g__Escherichia	hic1	13.6835
s__Escherichia coli	g__Escherichia	hic2	15.2583
s__Escherichia coli	g__Escherichia	hic1	15.6564
s__Escherichia coli	g__Escherichia	hic2	17.2277
s__Escherichia coli	g__Escherichia	hic1	15.8553
s__Escherichia coli	g__Escherichia	hic2	17.4266
s__Escherichia coli	g__Escherichia	hic1	15.4668
s__Escherichia coli	g__Escherichia	hic2	17.0381
s__Escherichia coli	g__Escherichia	hic1	14.6841
s__Escherichia coli	g__Escherichia	hic2	16.3256
s__Escherichia coli	g__Escherichia	hic1	14.7436
s__Escherichia coli	g__Escherichia	hic2	16.3016
s__Escherichia coli	g__Escherichia	hic1	14.0544
s__Escherichia coli	g__Escherichia	hic2	15.7247
s__Escherichia coli	g__Escherichia	hic1	15.1984
s__Escherichia coli	g__Escherichia	hic2	16.7696
s__Escherichia coli	g__Escherichia	hic1	14.4151
s__Escherichia coli	g__Escherichia	hic2	15.9656
s__Escherichia coli	g__Escherichia	hic1	14.5194
s__Escherichia coli	g__Escherichia	hic2	16.0907
s__Escherichia coli	g__Escherichia	hic1	14.0463
s__Escherichia coli	g__Escherichia	hic2	15.6295
s__Escherichia coli	g__Escherichia	hic1	15.2002
s__Escherichia coli	g__Escherichia	hic2	16.7177
s__Escherichia coli	g__Escherichia	hic1	15.0967
s__Escherichia coli	g__Escherichia	hic2	16.5699
s__Escherichia coli	g__Escherichia	hic1	13.7705
s__Escherichia coli	g__Escherichia	hic2	15.3608
s__Escherichia coli	g__Escherichia	hic1	15.2179
s__Escherichia coli	g__Escherichia	hic2	16.7892
s__Escherichia coli	g__Escherichia	hic1	13.7497
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	15.1372
s__Escherichia coli	g__Escherichia	hic2	16.8284
s__Escherichia coli	g__Escherichia	hic1	13.1744
s__Escherichia coli	g__Escherichia	hic2	14.7492
s__Escherichia coli	g__Escherichia	hic1	15.1835
s__Escherichia coli	g__Escherichia	hic2	16.7340
s__Escherichia coli	g__Escherichia	hic1	14.9644
s__Escherichia coli	g__Escherichia	hic2	16.5149
s__Escherichia coli	g__Escherichia	hic1	15.8553
s__Escherichia coli	g__Escherichia	hic2	17.4266
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.1411
s__Escherichia coli	g__Escherichia	hic1	15.2029
s__Escherichia coli	g__Escherichia	hic2	16.7609
s__Escherichia coli	g__Escherichia	hic1	15.2563
s__Escherichia coli	g__Escherichia	hic2	16.9050
s__Escherichia coli	g__Escherichia	hic1	14.5149
s__Escherichia coli	g__Escherichia	hic2	16.0862
s__Escherichia coli	g__Escherichia	hic1	14.5357
s__Escherichia coli	g__Escherichia	hic2	16.0862
s__Escherichia coli	g__Escherichia	hic1	15.0296
s__Escherichia coli	g__Escherichia	hic2	16.6211
s__Escherichia coli	g__Escherichia	hic1	13.9849
s__Escherichia coli	g__Escherichia	hic2	15.5562
s__Escherichia coli	g__Escherichia	hic1	15.3029
s__Escherichia coli	g__Escherichia	hic2	16.8534
s__Escherichia coli	g__Escherichia	hic1	14.7751
s__Escherichia coli	g__Escherichia	hic2	16.3256
s__Escherichia coli	g__Escherichia	hic1	13.8771
s__Escherichia coli	g__Escherichia	hic2	15.5250
s__Escherichia coli	g__Escherichia	hic1	13.2040
s__Escherichia coli	g__Escherichia	hic2	14.7753
s__Escherichia coli	g__Escherichia	hic1	14.3897
s__Escherichia coli	g__Escherichia	hic2	16.0217
s__Escherichia coli	g__Escherichia	hic1	15.1233
s__Escherichia coli	g__Escherichia	hic2	16.6945
s__Escherichia coli	g__Escherichia	hic1	15.7010
s__Escherichia coli	g__Escherichia	hic2	17.3099
s__Escherichia coli	g__Escherichia	hic1	14.2637
s__Escherichia coli	g__Escherichia	hic2	15.8349
s__Escherichia coli	g__Escherichia	hic1	14.4151
s__Escherichia coli	g__Escherichia	hic2	15.9656
s__Escherichia coli	g__Escherichia	hic1	15.4445
s__Escherichia coli	g__Escherichia	hic2	17.0157
s__Escherichia coli	g__Escherichia	hic1	15.4333
s__Escherichia coli	g__Escherichia	hic2	16.9838
s__Escherichia coli	g__Escherichia	hic1	15.4889
s__Escherichia coli	g__Escherichia	hic2	17.0394
s__Escherichia coli	g__Escherichia	hic1	15.0794
s__Escherichia coli	g__Escherichia	hic2	16.6938
s__Escherichia coli	g__Escherichia	hic1	15.1672
s__Escherichia coli	g__Escherichia	hic2	16.7177
s__Escherichia coli	g__Escherichia	hic1	13.1744
s__Escherichia coli	g__Escherichia	hic2	14.7492
s__Escherichia coli	g__Escherichia	hic1	13.7497
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	14.5569
s__Escherichia coli	g__Escherichia	hic2	16.1282
s__Escherichia coli	g__Escherichia	hic1	15.2739
s__Escherichia coli	g__Escherichia	hic2	16.8244
s__Escherichia coli	g__Escherichia	hic1	15.6739
s__Escherichia coli	g__Escherichia	hic2	17.3099
s__Escherichia coli	g__Escherichia	hic1	13.5541
s__Escherichia coli	g__Escherichia	hic2	15.1748
s__Escherichia coli	g__Escherichia	hic1	15.2679
s__Escherichia coli	g__Escherichia	hic2	16.8768
s__Escherichia coli	g__Escherichia	hic1	14.1704
s__Escherichia coli	g__Escherichia	hic2	15.7626
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.1411
s__Escherichia coli	g__Escherichia	hic1	15.7386
s__Escherichia coli	g__Escherichia	hic2	17.3099
s__Escherichia coli	g__Escherichia	hic1	14.8755
s__Escherichia coli	g__Escherichia	hic2	16.4467
s__Escherichia coli	g__Escherichia	hic1	14.1330
s__Escherichia coli	g__Escherichia	hic2	15.7078
s__Escherichia coli	g__Escherichia	hic1	14.5927
s__Escherichia coli	g__Escherichia	hic2	16.2016
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.1411
s__Escherichia coli	g__Escherichia	hic1	14.2637
s__Escherichia coli	g__Escherichia	hic2	15.8349
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	13.7961
s__Escherichia coli	g__Escherichia	hic2	15.3674
s__Escherichia coli	g__Escherichia	hic1	13.1357
s__Escherichia coli	g__Escherichia	hic2	14.6862
s__Escherichia coli	g__Escherichia	hic1	14.5529
s__Escherichia coli	g__Escherichia	hic2	16.1242
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	14.3943
s__Escherichia coli	g__Escherichia	hic2	15.9656
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.0212
s__Escherichia coli	g__Escherichia	hic1	14.3540
