type	hi
sdp	2.94
sdp	3.81
sdp	3.27
sdp	3.54
sdp	5.29
sdp	2.9
sdp	4.52
sdp	2.35
sdp	5.09
sdp	5.26
sdp	3.92
sdp	7.26
sdp	13.66
sdp	3.81
sdp	5.26
sdp	2.85
sdp	2.48
sdp	5.26
sdp	5.89
sdp	5.26
sdp	13.66
sdp	6.38
sdp	3.81
sdp	12.06
sdp	9.33
sdp	3.43
sdp	13.61
sdp	12.74
sdp	11.79
sdp	15.36
sdp	5.5
sdp	13.5
sdp	6.2
sdp	7.54
sdp	14.98
sdp	7.54
sdp	9.6
sdp	9.43
sdp	4.87
sdp	2.9
sdp	2.55
sdp	6.84
sdp	5.89
sdp	3.99
sdp	3.92
sdp	12.56
sdp	13.66
sdp	3.81
sdp	11.04
sdp	8.37
sdp	3.95
sdp	1.6
sdp	10.56
sdp	10.89
sdp	3.27
sdp	2.39
sdp	2.85
sdp	2.48
sdp	13.16
sdp	10.12
sdp	13.81
sdp	13.66
sdp	5.26
sdp	10.64
sdp	3.81
sdp	5.26
sdp	2.31
sdp	13.66
sdp	3.81
sdp	7.31
sdp	10.58
sdp	1.6
sdp	9.16
sdp	10.49
sdp	4.82
sdp	8.37
sdp	6.48
sdp	6.49
sdp	12.33
sdp	3.69
sdp	12.56
sdp	5.22
sdp	6.14
sdp	6.72
sdp	0.95
sdp	5.26
sdp	2.94
sdp	8.6
sdp	3.81
sdp	2.77
sdp	4.64
sdp	4.48
sdp	2.35
sdp	2.35
sdp	2.35
sdp	10.15
sdp	8.98
sdp	13.5
sdp	4.27
sdp	15.13
sdp	14.77
sdp	12.51
sdp	2.35
sdp	5.8
sdp	1.95
sdp	12.06
sdp	3.43
sdp	6.84
sdp	5.5
sdp	8.2
sdp	2.31
sdp	1.95
sdp	7.41
sdp	2.94
sdp	5.22
sdp	4.87
sdp	14.3
sdp	12.06
sdp	3.43
sdp	5.5
sdp	5.67
sdp	13.81
sdp	5.22
sdp	6.96
sdp	8.15
sdp	12.03
sdp	14.59
sdp	4.74
sdp	4.59
sdp	10.1
sdp	13.16
sdp	10.12
sdp	13.81
sdp	5.26
sdp	10.64
sdp	13.66
sdp	3.81
