contig_length	completeness	type	type2
12109	28.73	SiPs-S	SiPs
16388	30.74	SiPs-S	SiPs
62373	100	SiPs-L	SiPs
31482	100	SiPs-L	SiPs
32005	72.65	SiPs-L	SiPs
50529	100	SiPs-L	SiPs
34815	84.12	SiPs-L	SiPs
27506	86.75	SiPs-S	SiPs
37197	95.5	SiPs-L	SiPs
57922	100	SiPs-L	SiPs
36317	96.97	SiPs-L	SiPs
45441	97.37	SiPs-L	SiPs
40490	100	SiPs-L	SiPs
10231	25.86	SiPs-S	SiPs
20485	42.01	SiPs-S	SiPs
13494	35.7	SiPs-S	SiPs
16388	30.74	SiPs-S	SiPs
25145	57.7	SiPs-S	SiPs
31871	100	SiPs-L	SiPs
10232	25.86	SiPs-S	SiPs
11407	100	SiPs-S	SiPs
23411	67.82	SiPs-S	SiPs
17952	25.3	SiPs-S	SiPs
6448	4.67	SiPs-S	SiPs
8327	12.26	SiPs-S	SiPs
11051	27.73	SiPs-S	SiPs
12099	22.3	SiPs-S	SiPs
36715	98.7	SiPs-L	SiPs
22559	61.32	SiPs-S	SiPs
16299	36.5	SiPs-S	SiPs
9911	84.21	SiPs-S	SiPs
21274	32.97	SiPs-S	SiPs
13486	30.09	SiPs-S	SiPs
33563	98.9	SiPs-L	SiPs
33501	94.75	SiPs-L	SiPs
12094	30.04	SiPs-S	SiPs
75509	85.08	SiPs-L	SiPs
32484	87.31	SiPs-L	SiPs
43831	100	SiPs-L	SiPs
16108	32.53	SiPs-S	SiPs
18728	49.84	SiPs-S	SiPs
31287	100	SiPs-L	SiPs
25148	57.18	SiPs-S	SiPs
44106	97.78	SiPs-L	SiPs
41057	100	SiPs-L	SiPs
9724	23.48	SiPs-S	SiPs
13860	9.38	SiPs-S	SiPs
34333	92.55	SiPs-L	SiPs
22557	61.32	SiPs-S	SiPs
9550	81.14	SiPs-S	SiPs
32613	96.76	SiPs-L	SiPs
35876	100	SiPs-L	SiPs
37296	99.55	SiPs-L	SiPs
12772	30.8	SiPs-S	SiPs
38099	100	SiPs-L	SiPs
51178	100	SiPs-L	SiPs
34533	93.08	SiPs-L	SiPs
29161	89.75	SiPs-S	SiPs
23387	58.93	SiPs-S	SiPs
13622	32.15	SiPs-S	SiPs
12099	22.3	SiPs-S	SiPs
35874	100	SiPs-L	SiPs
41082	100	SiPs-L	SiPs
56224	100	SiPs-L	SiPs
9145	22.2	SiPs-S	SiPs
52924	100	SiPs-L	SiPs
15819	38.18	SiPs-S	SiPs
32303	87.08	SiPs-L	SiPs
41930	100	SiPs-L	SiPs
10231	25.86	SiPs-S	SiPs
20485	42.01	SiPs-S	SiPs
33072	74.97	SiPs-L	SiPs
40674	100	SiPs-L	SiPs
38719	100	SiPs-L	SiPs
38676	100	SiPs-L	SiPs
37058	99.89	SiPs-L	SiPs
41139	63.39	SiPs-L	SiPs
23871	65.57	SiPs-S	SiPs
46934	100	SiPs-L	SiPs
35257	93.68	SiPs-L	SiPs
36278	100	SiPs-L	SiPs
9738	13.36	SiPs-S	SiPs
34761	91.28	SiPs-L	SiPs
12099	22.3	SiPs-S	SiPs
19606	41.94	SiPs-S	SiPs
37304	100	SiPs-L	SiPs
10231	25.86	SiPs-S	SiPs
20488	42.02	SiPs-S	SiPs
9736	8.31	SiPs-S	SiPs
9738	13.36	SiPs-S	SiPs
10232	25.86	SiPs-S	SiPs
31428	100	SiPs-L	SiPs
10886	20.07	SiPs-S	SiPs
33995	100	SiPs-L	SiPs
13461	36.81	SiPs-S	SiPs
32097	100	SiPs-L	SiPs
25007	78.31	SiPs-S	SiPs
31521	93.22	SiPs-L	SiPs
13494	35.7	SiPs-S	SiPs
16388	30.74	SiPs-S	SiPs
10231	25.86	SiPs-S	SiPs
14368	38.01	SiPs-S	SiPs
16075	37.81	SiPs-S	SiPs
30348	90.55	SiPs-L	SiPs
18917	40.19	SiPs-S	SiPs
28695	92.13	SiPs-S	SiPs
35262	100	SiPs-L	SiPs
10232	25.86	SiPs-S	SiPs
17952	25.3	SiPs-S	SiPs
11119	100	SiPs-S	SiPs
36455	95.23	SiPs-L	SiPs
37462	97.93	SiPs-L	SiPs
36972	96.65	SiPs-L	SiPs
39738	100	SiPs-L	SiPs
21244	57.75	SiPs-S	SiPs
10155	21.96	SiPs-S	SiPs
10231	25.86	SiPs-S	SiPs
20488	42.02	SiPs-S	SiPs
10232	25.86	SiPs-S	SiPs
10155	21.96	SiPs-S	SiPs
32303	87.08	SiPs-L	SiPs
7718	54.52	SiPs-S	SiPs
38713	100	SiPs-L	SiPs
45297	83.94	SiPs-L	SiPs
47381	97.02	SiPs-L	SiPs
43908	100	SiPs-L	SiPs
10231	25.86	SiPs-S	SiPs
20488	42.02	SiPs-S	SiPs
16300	36.5	SiPs-S	SiPs
72743	81.96	SiPs-L	SiPs
10231	25.86	SiPs-S	SiPs
20485	42.01	SiPs-S	SiPs
32354	35.63	SiPs-L	SiPs
75510	85.08	SiPs-L	SiPs
32478	87.29	SiPs-L	SiPs
29639	94.99	SiPs-S	SiPs
35479	100	SiPs-L	SiPs
36332	100	SiPs-L	SiPs
35806	95.65	SiPs-L	SiPs
15231	31.31	SiPs-S	SiPs
11600	100	SiPs-S	SiPs
36208	96.69	SiPs-L	SiPs
10588	100	SiPs-S	SiPs
44440	87.55	SiPs-L	SiPs
43681	100	SiPs-L	SiPs
21241	57.74	SiPs-S	SiPs
27810	68.56	SiPs-S	SiPs
37840	100	SiPs-L	SiPs
38719	100	SiPs-L	SiPs
37840	100	SiPs-L	SiPs
9738	13.36	SiPs-S	SiPs
37223	92.68	SiPs-L	SiPs
10231	25.86	SiPs-S	SiPs
20488	42.02	SiPs-S	SiPs
45834	100	SiPs-L	SiPs
36273	96.95	SiPs-L	SiPs
33253	75.43	SiPs-L	SiPs
31144	100	SiPs-L	SiPs
44311	92.03	SiPs-L	SiPs
8091	72.05	SiPs-S	SiPs
34196	92.18	SiPs-L	SiPs
39293	100	SiPs-L	SiPs
11738	19.88	SiPs-S	SiPs
33857	100	SiPs-L	SiPs
40909	96.88	SiPs-L	SiPs
34816	100	SiPs-L	SiPs
75509	85.08	SiPs-L	SiPs
32484	87.31	SiPs-L	SiPs
10231	25.86	SiPs-S	SiPs
20485	42.01	SiPs-S	SiPs
12388	94.03	SiPs-S	SiPs
37431	94.45	SiPs-L	SiPs
34938	93.27	SiPs-L	SiPs
16402	33.73	SiPs-S	SiPs
18489	49.2	SiPs-S	SiPs
36281	96.73	SiPs-L	SiPs
36375	86.39	SiPs-L	SiPs
10231	25.86	SiPs-S	SiPs
11400	19.2	SiPs-S	SiPs
29167	89.77	SiPs-S	SiPs
34940	100	SiPs-L	SiPs
9448	100	SiPs-S	SiPs
10883	100	SiPs-S	SiPs
32303	87.08	SiPs-L	SiPs
44762	100	SiPs-L	SiPs
54499	100	SiPs-L	SiPs
58332	100	SiPs-L	SiPs
11555	16.18	SiPs-S	SiPs
36868	100	SiPs-L	SiPs
48430	100	SiPs-L	SiPs
37061	99.9	SiPs-L	SiPs
45822	100	SiPs-L	SiPs
37395	100	SiPs-L	SiPs
9748	13.37	SiPs-S	SiPs
16075	37.81	SiPs-S	SiPs
30348	90.55	SiPs-L	SiPs
18917	40.19	SiPs-S	SiPs
9738	13.36	SiPs-S	SiPs
32789	100	SiPs-L	SiPs
