hi	label	model
9.5379	0	BayesianGaussianMixture
9.5959	0	BayesianGaussianMixture
10.5647	0	BayesianGaussianMixture
10.6822	0	BayesianGaussianMixture
11.8257	0	BayesianGaussianMixture
12.0879	0	BayesianGaussianMixture
12.1642	0	BayesianGaussianMixture
12.5928	1	BayesianGaussianMixture
12.7969	1	BayesianGaussianMixture
12.8241	1	BayesianGaussianMixture
12.8386	1	BayesianGaussianMixture
12.8477	1	BayesianGaussianMixture
12.934	1	BayesianGaussianMixture
12.934	1	BayesianGaussianMixture
12.9949	1	BayesianGaussianMixture
13.5496	1	BayesianGaussianMixture
13.5496	1	BayesianGaussianMixture
13.6036	1	BayesianGaussianMixture
13.9467	1	BayesianGaussianMixture
14.0719	1	BayesianGaussianMixture
14.6271	1	BayesianGaussianMixture
14.8228	1	BayesianGaussianMixture
14.8864	1	BayesianGaussianMixture
14.8947	1	BayesianGaussianMixture
14.9842	1	BayesianGaussianMixture
14.9842	1	BayesianGaussianMixture
15.0662	1	BayesianGaussianMixture
15.0691	1	BayesianGaussianMixture
15.241	1	BayesianGaussianMixture
15.2579	1	BayesianGaussianMixture
15.2591	1	BayesianGaussianMixture
15.2939	1	BayesianGaussianMixture
15.2962	1	BayesianGaussianMixture
15.3188	1	BayesianGaussianMixture
15.3828	1	BayesianGaussianMixture
15.4953	1	BayesianGaussianMixture
15.5579	1	BayesianGaussianMixture
15.5579	1	BayesianGaussianMixture
15.5738	1	BayesianGaussianMixture
15.5936	1	BayesianGaussianMixture
